                                              CSA         Kogge           RCA
core_area_um2                        2.522419e+03  3.688538e+03  1.126080e+03
die_area_um2                         4.604115e+03  6.092768e+03  2.571760e+03
utilization_percent                  5.478619e+01  6.053960e+01  4.378635e+01
flops                                0.000000e+00  0.000000e+00  0.000000e+00
total_cells                          6.400000e+01  1.100000e+02  3.400000e+01
comb_cells                           6.400000e+01  1.100000e+02  3.400000e+01
clock_period_ns                      1.000000e+01  1.000000e+01  1.000000e+01
WNS_ns                               0.000000e+00  0.000000e+00  0.000000e+00
TNS_ns                               0.000000e+00  0.000000e+00  0.000000e+00
critical_path_ns                     5.070000e+00  6.210000e+00  7.140000e+00
Fmax_MHz                             1.972387e+02  1.610306e+02  1.400560e+02
total_power_mw                       8.340000e-02  9.570000e-02  3.260000e-02
energy_per_cycle_pJ                  8.340000e-01  9.570000e-01  3.260000e-01
latency_ns                           5.070000e+00  6.210000e+00  7.140000e+00
throughput_ops_per_sec               1.972387e+08  1.610306e+08  1.400560e+08
energy_per_op_pJ                     4.228380e+02  5.942970e+02  2.327640e+02
power_efficiency_ops_per_sec_per_mW  2.364972e+09  1.682660e+09  4.296197e+09
area_efficiency_ops_per_sec_per_um2  4.283965e+04  2.642979e+04  5.445920e+04
