net,length_um
net48,82.62
net20,71.64
net45,69.96
net17,63.62
net9,62.18
net4,61.8
net58,61.74
net44,58.24
net22,55.52
net21,54.36
net7,53.82
net27,53.62
net74,47.1
net6,46.14
net61,44.96
net3,44.58
net18,44.2
net62,44.2
net5,43.26
net15,42.26
net78,42.2
net49,41.86
net79,40.22
net24,40.2
net28,38.92
net37,38.82
net60,38.42
net55,37.82
net19,36.24
net31,34
net2,33.68
A[15],33.01
net40,32.94
C[13],31.52
net73,30.94
A[9],30.82
Carry[13],30.82
net57,30.68
net72,30.5
Carry[9],29.99
B[5],28.19
B[2],26.17
net12,25.4
net65,25.28
A[8],25.08
net47,24
net36,23.84
Carry[6],23.77
B[8],23.04
net43,22.62
Sum[2],22.56
C[5],22.44
net1,22.24
net76,22.12
net26,21.72
B[11],21.39
net10,21.04
B[13],20.9
Carry[5],20.78
net68,20.56
net52,20.4
net8,20.04
B[6],19.9
net41,19.82
Sum[4],19.76
net63,19.74
Carry[12],19.47
net39,19.28
net35,18.32
net23,18.18
Sum[0],17.59
B[14],17.49
A[14],17.47
C[14],17.22
net56,16.86
Carry[2],16.24
net70,16.18
C[9],15.75
net38,15.68
B[9],15.12
C[15],15.08
A[13],14.97
Carry[10],14.9
Sum[8],14.59
A[0],14.46
net32,14.3
A[10],14.2
C[1],14.2
net42,14.08
net30,14.04
Carry[1],13.98
net75,13.88
B[10],13.79
B[4],13.63
net54,13.54
net46,13.42
A[12],13.4
Carry[11],13.4
A[5],13.28
B[7],13.15
net14,13.02
A[6],13.01
C[2],12.95
net16,12.8
Sum[3],11.68
C[4],11.61
A[1],11.44
C[6],11.44
Carry[15],11.1
Sum[10],11.1
C[3],11
net33,10.98
net25,10.86
Carry[3],10.64
Sum[6],10.32
Sum[5],10.3
net69,10.28
_31_,10.2
net29,10.18
net67,10.12
net34,9.96
net11,9.82
Sum[12],9.76
B[3],9.64
_21_,9.52
Sum[13],8.96
A[3],8.72
C[0],8.72
Sum[14],8.5
net13,8.36
Carry[8],8.04
C[10],8.01
net59,7.94
Sum[9],7.59
Sum[1],7.58
net71,7.06
net77,6.98
B[12],6.89
net64,6.84
net50,6.64
Carry[4],6.43
B[1],6.31
_09_,6.18
net51,6.18
C[11],6.09
A[7],5.97
C[7],5.97
_13_,5.8
Carry[0],5.75
B[15],5.63
Sum[7],5.63
A[11],5.53
_28_,5.4
_20_,5.38
_19_,5.36
net80,5.34
C[12],5.29
Sum[11],5.07
Sum[15],5.07
A[4],4.95
Carry[7],4.95
_10_,4.76
_05_,4.46
C[8],4.27
Carry[14],4.27
A[2],3.93
B[0],3.93
_15_,3.88
_18_,3.54
_01_,3.42
_08_,3.08
_17_,3.08
_03_,2.96
_25_,2.96
net53,2.74
_23_,2.5
_14_,2.3
_02_,2.18
_22_,2.18
_26_,2.18
_27_,2.18
_29_,2.18
_30_,2.18
_04_,2.16
_06_,2.16
_00_,2.04
net66,2.04
_07_,1.84
_24_,1.72
_16_,1.7
_11_,1.38
_12_,1.38
