net,length_um
net1,103.64
net25,77.62
net28,75.06
net10,75.05
net12,72.14
net31,72.05
net7,71.02
net5,67.575
net24,66.4
net42,65.46
net4,65.4
_080_,64.1
net41,57.98
net2,57.94
_000_,55.72
net15,54.86
net9,53.675
net14,51.84
net11,50.8
net38,49.66
_055_,47.74
net13,47.58
net26,47.2
net30,46.84
_014_,46.12
_029_,45.42
_025_,43.98
_077_,42.7
net21,41.72
_088_,41.46
_018_,40.64
net43,40.12
_052_,39.9
net37,39.62
net27,38.46
_087_,38.22
_082_,37.83
net36,35.14
_007_,34.26
net44,34.26
net47,32.88
_073_,32.1
_084_,31.76
_021_,31.32
net6,30.565
_062_,30.4
_063_,30.14
net8,29.83
net35,29.66
_072_,29.18
net29,27.9
_034_,27.62
_064_,27.24
_005_,26.65
_030_,26.185
net39,25.64
net16,25.18
_071_,24.9
_038_,23.425
_003_,22.96
net20,22.94
_028_,22.76
_015_,22.52
SUM[15],22.43
_068_,21.76
_089_,21.62
_006_,21.04
net46,20.22
_049_,20.1
_044_,19.96
_093_,19.08
net18,18.87
B[5],18.68
B[10],18.33
SUM[2],18.24
A[3],17.66
_012_,17.625
_032_,16.965
_001_,16.58
_091_,16.29
_069_,16.24
A[4],16.23
net22,16.22
B[4],16.12
_086_,15.76
_047_,15.64
B[12],15.07
_041_,15.06
_022_,14.94
net3,14.82
net19,14.58
A[14],14.44
_031_,13.84
_010_,13.5
_053_,13.48
SUM[0],13.44
_009_,13.2
A[12],12.7
net32,12.56
_026_,12.5
B[0],12.24
SUM[4],12.24
_027_,12.18
B[14],11.68
_054_,11.46
B[13],11.34
A[9],11.33
_037_,11.16
SUM[3],11
SUM[5],11
B[2],10.88
B[1],10.76
A[8],10.66
_016_,10.66
SUM[10],10.54
_045_,10.38
SUM[1],10.32
SUM[6],10.32
_061_,10.28
_058_,9.98
SUM[12],9.88
_004_,9.36
_056_,9.18
_065_,9.14
_019_,8.9
A[7],8.84
B[8],8.84
A[10],8.81
_011_,8.58
_060_,8.54
SUM[14],8.5
SUM[8],8.47
_090_,8.32
A[0],8.05
SUM[13],7.58
_085_,7.56
_081_,7.52
_036_,7.12
_066_,6.84
net23,6.76
_075_,6.2
net34,6.18
A[2],6.09
B[11],6.09
B[9],6.09
_057_,6.08
_020_,5.98
_078_,5.86
_017_,5.8
A[1],5.63
A[5],5.41
B[7],5.41
_059_,5.4
B[15],5.29
_067_,5.26
_013_,5.22
SUM[9],5.07
net33,5.02
_039_,5
_046_,4.8
_076_,4.8
_083_,4.8
net40,4.8
A[11],4.73
A[6],4.73
net48,4.68
_033_,4.46
_048_,4.42
A[13],4.39
B[3],4.39
B[6],4.39
SUM[11],4.39
SUM[7],4.27
_024_,4.02
A[15],3.93
_023_,3.9
net17,3.88
_043_,3.78
_035_,3.32
net45,2.96
_079_,2.62
_050_,2.18
_070_,2.18
_002_,2.16
_008_,2.16
_074_,2.16
_051_,1.7
_040_,1.26
_042_,0.915
_092_,0.46
