net,length_um
net12,49.4
net1,42
net11,37.94
net23,36.34
net5,35.6
_11_,34.92
net14,28.29
net18,27.74
net10,26.12
net7,24.72
SUM[6],22.77
net2,22.57
A[6],21.8
net21,20.26
_17_,19.86
A[3],19.33
B[3],18.6
B[6],18.53
net19,18.34
net6,18.22
net15,18.08
net9,16.4
SUM[3],16.02
_19_,15.435
net16,15.34
SUM[0],13.76
B[2],11.94
A[0],11.68
A[7],11
_18_,10.86
net4,10.86
net13,10.86
SUM[4],10.78
A[2],10.76
B[5],10.76
_01_,10.7
B[1],10.07
_15_,9.84
B[4],8.72
B[7],8.72
net8,8.56
SUM[2],8.47
A[5],8.27
_08_,8.24
_03_,8.2
_02_,8.12
_22_,8.1
net24,8.1
_23_,8
_14_,7.92
_20_,7.56
net3,7.52
_09_,7.3
_05_,7.12
net22,6.84
_06_,6.78
_00_,6.76
_04_,5.94
_10_,5.8
net17,5.78
B[0],5.63
SUM[7],5.29
SUM[1],4.61
SUM[5],4.27
A[1],3.93
_12_,3.88
A[4],3.81
_07_,3.08
net20,2.84
_13_,2.16
_24_,2.04
_21_,1.7
_25_,0.92
_16_,0.46
