net,length_um
net11,200.68
net16,169.31
net3,155.135
_245_,152.805
net2,148.5
net14,141.855
net12,138.615
_275_,137.995
_303_,137.82
_314_,134.44
net29,131.78
net1,128.82
net5,128.08
net7,128.06
_331_,126.935
_010_,124.245
_311_,122.205
net24,121.44
net13,120.24
net4,119.14
_042_,116.685
_136_,115.36
net9,111.84
_326_,108.905
net19,107.36
_000_,105.8
net32,102.26
net22,101.18
_255_,99.28
_172_,95.8
net6,91.54
_348_,89.5
_118_,81.92
_306_,79.86
_290_,78.32
_134_,76.49
_169_,75.86
_094_,75.58
net8,73.08
net18,71.42
net10,69.865
net15,69.28
_286_,64.75
_294_,59.64
_234_,58.1
_105_,52.92
_340_,50.295
_265_,46.7
_100_,45.2
_139_,44.1
_115_,42.44
_313_,42.06
_223_,41.74
_101_,41.4
_322_,41.2
_065_,41.18
_228_,40.04
_041_,39.46
_258_,37.96
net30,36.72
_158_,36.52
_081_,36.38
_248_,35.8
_114_,35.44
net23,35.02
_302_,34.06
_075_,32.34
_113_,31.92
_144_,31.66
_173_,30.66
_143_,30.16
_159_,29.94
_078_,29.9
_095_,29.8
_266_,29.66
_032_,29.34
_328_,29.22
_036_,28.48
net31,28.36
_005_,28.24
_030_,28.06
_026_,27.9
_192_,27.66
_183_,27.28
_066_,26.78
_356_,26.66
_106_,26.46
_060_,26.16
_008_,26.12
_283_,26.02
_164_,26.01
_061_,25.68
_342_,25.68
_190_,25.52
_242_,25.24
_123_,24.92
_151_,24.85
_025_,24.34
_170_,24.18
_155_,24.1
_269_,24.08
_109_,24
_272_,23.92
_009_,23.86
_350_,23.8
_181_,23.78
_011_,23.62
_029_,22.38
_124_,22.3
_171_,22.14
_182_,22.085
_096_,21.935
_215_,21.62
_233_,21.54
_349_,21.54
_175_,21.3
_083_,21.1
_176_,20.92
_344_,20.9
P[11],20.79
_277_,20.26
_188_,20.24
_332_,20.16
_333_,20.02
_214_,19.94
_312_,19.94
_122_,19.7
_201_,19.68
_003_,19.64
_243_,19.6
_157_,19.56
_054_,19.52
_199_,19.36
_319_,19.02
_152_,18.64
_189_,18.58
_080_,18.36
_197_,18.32
_271_,18.12
_315_,18.08
_235_,17.98
A[0],17.8
_198_,17.74
_284_,16.88
_196_,16.82
_179_,16.64
_310_,16.56
_040_,16.54
_250_,16.46
_131_,16.22
_163_,16.18
_346_,16.11
_261_,16.04
_133_,15.66
_150_,15.66
net40,15.48
_121_,15.42
_145_,15.3
_099_,15.26
_241_,15.26
_324_,15.22
_062_,15.18
B[3],15.16
_055_,15.14
_353_,15.1
_226_,15.06
net39,14.96
_203_,14.92
_217_,14.92
_289_,14.78
_102_,14.72
_146_,14.72
_341_,14.7
_345_,14.7
P[8],14.59
_037_,14.58
_264_,14.42
_168_,14.22
_034_,14.1
_193_,14.04
_058_,14
_232_,14
_211_,13.7
_206_,13.6
_119_,13.5
_299_,13.38
_033_,13.12
_229_,13.08
_256_,13.04
_161_,12.98
_357_,12.88
_018_,12.8
_056_,12.78
_354_,12.615
_072_,12.58
_022_,12.52
_002_,12.48
_074_,12.48
_336_,12.46
_031_,12.44
_142_,12.37
_132_,12.23
_103_,12.08
_254_,12.04
P[4],11.94
_237_,11.9
_279_,11.9
_267_,11.84
_207_,11.76
_068_,11.72
_063_,11.62
_212_,11.58
_093_,11.54
_316_,11.34
_307_,11.32
P[13],11.26
_219_,11.24
_112_,11.22
_236_,11.22
_064_,11.18
_186_,11.16
P[5],11
_071_,10.86
_107_,10.86
net35,10.86
_147_,10.84
P[6],10.8
_246_,10.8
net20,10.7
_053_,10.64
_335_,10.62
_221_,10.58
_291_,10.52
_021_,10.48
_304_,10.44
_057_,10.4
B[4],10.32
net26,10.32
_044_,10.3
_334_,10.28
_019_,10.26
net34,10.24
_195_,10.17
_087_,10.14
net41,10.14
B[0],10.1
_253_,10.06
_194_,10.02
_006_,10
B[5],9.98
_252_,9.98
_097_,9.96
_052_,9.94
_351_,9.94
_023_,9.88
_070_,9.84
_092_,9.81
_091_,9.72
_067_,9.56
A[5],9.52
_149_,9.46
_079_,9.44
_024_,9.42
A[4],9.4
_020_,9.4
A[6],9.3
_318_,9.08
_287_,9.04
_027_,9.02
_300_,8.98
_046_,8.92
_048_,8.92
_218_,8.9
_220_,8.89
A[3],8.84
_209_,8.84
_141_,8.8
_016_,8.72
_330_,8.7
_337_,8.68
P[14],8.6
_004_,8.6
_073_,8.6
_231_,8.56
P[1],8.5
_184_,8.5
_329_,8.46
_202_,8.44
net44,8.44
_222_,8.4
_140_,8.38
_130_,8.33
_325_,8.14
_187_,8.04
_128_,8.02
_108_,7.98
_116_,7.94
_038_,7.9
_297_,7.9
_015_,7.84
_050_,7.74
_239_,7.68
P[12],7.58
_276_,7.58
net45,7.58
_224_,7.5
_191_,7.48
_225_,7.46
_347_,7.4
net36,7.4
_321_,7.34
_043_,7.32
_148_,7.32
_059_,7.3
_085_,7.2
_135_,7.1
_167_,7.1
_308_,7.06
_178_,7
_028_,6.985
_110_,6.98
_069_,6.88
_045_,6.74
_104_,6.74
P[7],6.57
_247_,6.32
_352_,6.26
_180_,6.18
_185_,6.16
_216_,6.08
_098_,6.06
_089_,5.94
_278_,5.9
_260_,5.84
_285_,5.84
A[7],5.75
P[0],5.75
P[15],5.75
P[3],5.75
P[9],5.75
_125_,5.74
_088_,5.72
_127_,5.72
_156_,5.72
_090_,5.7
_208_,5.68
_177_,5.48
_305_,5.46
_249_,5.44
A[1],5.41
P[2],5.41
_165_,5.385
_262_,5.34
_320_,5.16
_111_,5.14
B[2],4.95
B[6],4.95
_230_,4.92
_288_,4.92
_317_,4.88
_086_,4.8
_137_,4.8
A[2],4.73
_295_,4.7
net21,4.68
B[1],4.61
_309_,4.6
_240_,4.46
_077_,4.44
_268_,4.36
net28,4.34
P[10],4.27
net42,4.24
_014_,4.22
_126_,4.02
net43,4.02
_001_,4
_051_,4
B[7],3.93
_013_,3.88
_154_,3.88
_281_,3.88
_293_,3.88
net33,3.88
_273_,3.775
_263_,3.74
_210_,3.68
_327_,3.64
_162_,3.635
_227_,3.54
_339_,3.54
_270_,3.52
_251_,3.44
_047_,3.42
_084_,3.42
_200_,3.315
_035_,3.3
_274_,3.22
_120_,3.08
_174_,3.08
_244_,3.08
_292_,3.08
_257_,2.96
_296_,2.64
net38,2.64
_166_,2.62
_280_,2.62
_338_,2.62
_138_,2.52
_017_,2.5
_205_,2.5
net27,2.5
_301_,2.3
_039_,2.18
_049_,2.18
_282_,2.18
_343_,2.18
_323_,2.16
_160_,2.06
_082_,2.04
_012_,1.72
_007_,1.7
_129_,1.7
_238_,1.7
net25,1.7
_076_,1.6
net37,1.48
_153_,1.38
_117_,1.26
net17,1.26
_298_,1.15
_204_,0.92
_213_,0.92
_259_,0.92
_355_,0.8
