net,length_um
_131_,341.98
_404_,265.065
_408_,247.07
net7,211.305
net6,208.21
net11,202.82
net14,197.4
net12,188.4
_000_,186.88
_447_,186.795
_438_,166.14
_196_,160.38
net59,157.86
_145_,157.21
net56,156.16
net22,153.92
net10,150
net5,149.86
net3,147.84
_248_,144.49
net15,142.58
_141_,140.155
_437_,138.67
net2,136.43
_143_,135.06
_440_,133.895
_137_,130.88
_270_,127.4
_291_,122.38
net32,121.84
_133_,120.53
_324_,119.82
net19,119.58
net1,118.315
_102_,117.715
_417_,114.25
net4,111.6
_377_,110.585
_406_,107.92
_100_,106.74
net40,105.84
_356_,105.77
_103_,103.55
_427_,98.24
_019_,96.5
_366_,96.23
_070_,95.72
_039_,91.14
_200_,90
_434_,89.46
_073_,89.14
_031_,87.52
net13,87.16
_127_,84.66
_160_,80.77
_334_,77.62
_033_,76.675
_017_,76.42
_403_,75.62
_418_,72.6
_411_,68.575
_445_,65.78
_006_,65.35
net8,65.28
net23,64.44
net18,62.34
_425_,61.18
_059_,58.675
net16,56.76
_349_,54.66
_081_,54.58
net29,52.24
net9,51.76
_014_,50.09
_301_,49.24
_061_,49.02
_018_,48.94
_105_,47.68
_247_,47.02
_048_,46.7
net24,41.4
_395_,41.02
_011_,40.75
_045_,40.62
_203_,40.4
net31,40.2
_369_,39.68
_340_,39.38
_344_,38.94
_236_,38
_189_,37.92
_451_,37.7
_407_,37.64
_259_,37.6
_092_,37.34
_015_,36.62
_280_,35.91
_415_,35.28
_025_,34.68
_026_,34.04
_303_,33.48
_354_,33.38
_265_,33.3
_341_,32.78
_029_,32.22
_320_,31.88
_313_,31.76
_152_,30.88
_439_,30.47
_117_,30.3
_431_,30
_212_,29.74
_148_,29.36
_139_,29.12
_243_,28.82
_375_,28.82
_402_,28.74
_041_,27.82
_087_,27.1
_441_,25.89
_430_,25.88
_325_,25.4
_401_,25.18
_413_,25.01
_185_,24.85
_043_,24.74
_309_,24.38
_150_,24.14
_274_,23.94
_295_,23.8
_119_,23.54
net48,23.54
_062_,23.5
_063_,22.94
_174_,22.68
_231_,22.54
_056_,22.48
_068_,22.34
_286_,22.22
_069_,22.1
_151_,21.9
_254_,21.78
_077_,21.66
_120_,21.54
_239_,21.46
_398_,21.24
_442_,20.28
_275_,20.27
_245_,20.12
net26,20.12
_038_,19.94
_224_,19.76
_097_,19.7
_333_,19.58
_386_,19.5
product[11],19.37
_410_,19.34
_271_,19.26
_106_,19.015
_381_,18.98
_164_,18.935
_170_,18.66
_220_,18.48
_110_,18.32
_314_,18.28
_319_,18.18
_003_,18.09
_095_,17.64
_055_,17.44
_261_,17.16
_219_,17.04
multiplicand[0],16.88
_067_,16.82
_227_,16.78
_125_,16.74
_289_,16.72
_215_,16.7
_216_,16.68
_306_,16.48
_201_,16.26
_348_,15.7
_208_,15.58
_182_,15.46
_307_,15.46
_382_,15.34
_169_,15.24
multiplier[3],15.16
_034_,15.14
_235_,15.135
_046_,15.1
_279_,15.02
_134_,14.88
_012_,14.86
_446_,14.8
_230_,14.64
_371_,14.54
_350_,14.46
_207_,14.34
_053_,14.015
_154_,13.94
product[8],13.91
_036_,13.86
net41,13.82
_237_,13.6
_050_,13.58
_416_,13.52
_269_,13.22
_001_,13.16
_317_,13.14
_075_,13.12
_435_,13.1
_184_,13
_421_,12.9
_453_,12.88
product[6],12.62
_177_,12.58
_066_,12.46
_272_,12.32
_352_,12.32
_399_,12.3
_363_,12.28
_118_,12.16
_159_,12.14
_266_,11.93
_322_,11.86
multiplicand[5],11.82
_433_,11.72
_364_,11.7
multiplicand[4],11.7
net20,11.66
_365_,11.605
_021_,11.58
_161_,11.56
_361_,11.48
_074_,11.46
_080_,11.46
_268_,11.46
_198_,11.44
_167_,11.36
