net,length_um
net3,203.765
net12,186.16
net4,185.08
net7,177.775
net11,162.76
_233_,156.79
_219_,155.915
_251_,152.32
_215_,146.54
net22,144.26
_221_,137.255
_218_,128.86
_252_,128.85
_040_,128.345
net8,123.43
_042_,121.1
_217_,120.71
_226_,119.88
net29,119.82
_263_,117.47
net14,107.58
net15,102.3
_056_,101.12
_220_,100.34
net32,91.48
_046_,86.1
_216_,81.82
net10,81.21
_174_,79.32
_277_,77.805
net19,77.06
net18,76.48
_237_,75.465
_051_,73.97
_001_,72.435
net1,71.76
_099_,71.36
_069_,69.51
_088_,69.14
_003_,67.3
_048_,65.3
net5,64
_134_,61.96
_247_,61.38
net9,60.88
_043_,58.37
_050_,57.435
_018_,56.88
_002_,55.16
_058_,54.96
net16,54.92
_063_,51.78
net2,50.76
net24,50
_241_,49.67
_053_,49.36
_024_,48.9
_094_,47.64
_072_,47.62
net31,47.4
_270_,47.08
_257_,46.48
_239_,45.76
_019_,45.7
_087_,45.68
net13,43.04
_112_,41.94
_232_,41.935
_005_,41.58
net6,41.1
_207_,40.98
net41,39.985
_113_,39.54
_083_,38.66
net35,37.5
_140_,37.15
_271_,36.52
_151_,35.22
_258_,35.06
_223_,34.74
_044_,34.34
_273_,33.8
_117_,33.1
net30,32.42
_147_,31.42
_240_,31.39
_038_,30.9
_075_,30.68
_034_,29.88
_086_,28.32
_133_,27.9
_172_,27.82
_206_,27.63
_106_,27.4
_100_,26.92
_009_,26.76
_084_,25.63
_030_,25.46
_183_,25.02
_102_,24.87
_243_,23.66
_131_,23.34
_155_,23.3
_136_,22.8
_107_,22.76
_047_,22.44
_259_,22.38
_163_,22.06
_128_,21.86
_210_,21.2
_178_,21
_250_,20.7
net42,20.7
_096_,20.16
_261_,20.06
_143_,19.86
_060_,19.56
_070_,19.38
_033_,19.32
_238_,18.98
_032_,18.6
_064_,18.49
_164_,18.44
_076_,18.12
_090_,18.06
_031_,18.02
_093_,17.48
_150_,17.4
net20,16.82
_022_,16.7
_115_,16.48
_132_,16.08
_119_,16.02
_017_,15.96
_145_,15.88
_244_,15.48
B[3],15.16
P[11],15.05
_229_,14.94
_166_,14.915
_028_,14.88
_036_,14.76
_146_,14.5
A[0],14.46
_103_,14.44
_212_,14.3
net36,14.18
_008_,14.07
_256_,14.02
_021_,13.98
_187_,13.88
_266_,13.76
_014_,13.72
_138_,13.48
_035_,13.4
_274_,13.23
_246_,13.2
_158_,13.08
_118_,12.72
_264_,12.58
_095_,12.36
_127_,12.33
_015_,12.26
_123_,12.26
_161_,12.26
_201_,12.18
_192_,12.175
_156_,12.16
_144_,12
P[8],11.87
_006_,11.85
_181_,11.735
_193_,11.595
_152_,11.54
_179_,11.38
_026_,11.3
_081_,11.3
P[1],11.26
P[6],11.26
_065_,11.24
_149_,11.24
_185_,11.22
A[3],11.14
_091_,11.06
_265_,11.06
_186_,10.86
_105_,10.66
_203_,10.66
_190_,10.54
_272_,10.46
_235_,10.455
_059_,10.42
_027_,10.38
A[5],10.32
B[4],10.32
A[6],10.1
_137_,10.04
_049_,9.86
_124_,9.86
_041_,9.82
B[0],9.64
P[5],9.64
_025_,9.6
_089_,9.58
_077_,9.54
net26,9.54
_011_,9.5
A[4],9.4
B[5],9.4
_080_,9.37
_068_,9.24
P[14],9.18
P[4],9.18
_275_,9.14
_175_,9.02
_039_,8.915
_125_,8.82
net43,8.62
_200_,8.56
P[13],8.5
_000_,8.46
_255_,8.46
_162_,8.44
_121_,8.32
_197_,8.155
_148_,8.1
_269_,8.1
_180_,8.02
_268_,7.9
_160_,7.85
_111_,7.78
P[12],7.58
_007_,7.54
net27,7.52
_173_,7.25
net25,7.24
_159_,7.18
_010_,7.08
net21,6.98
_141_,6.94
_184_,6.94
_199_,6.94
_224_,6.94
_254_,6.94
_189_,6.86
_195_,6.86
A[7],6.77
_157_,6.76
_171_,6.76
_073_,6.64
B[1],6.55
_182_,6.48
_153_,6.4
A[1],6.31
_116_,6.28
_194_,6.28
_013_,6.26
_139_,6.26
P[9],6.21
_198_,6.14
_066_,6.06
_248_,5.84
_234_,5.8
P[10],5.75
P[7],5.75
_227_,5.74
_092_,5.725
_004_,5.72
_052_,5.72
_062_,5.72
_202_,5.72
P[2],5.53
_061_,5.36
_231_,5.34
P[15],5.31
_260_,5.28
_101_,5.26
_228_,5.02
B[2],4.95
_213_,4.94
_016_,4.9
P[3],4.85
_225_,4.8
net28,4.8
A[2],4.61
_012_,4.6
_176_,4.58
_167_,4.46
_267_,4.46
B[6],4.39
B[7],4.39
net40,4.14
_208_,4
P[0],3.93
_168_,3.9
net39,3.9
_037_,3.88
_098_,3.88
_104_,3.88
_188_,3.88
_110_,3.56
_170_,3.54
_262_,3.54
_097_,3.44
net37,3.44
_029_,3.42
_055_,3.42
_108_,3.42
_120_,3.42
_079_,3.08
_114_,3.08
_209_,3.08
_020_,2.96
_129_,2.96
_242_,2.96
_253_,2.96
_191_,2.76
_071_,2.62
_130_,2.62
_154_,2.62
_214_,2.62
_245_,2.62
net33,2.62
_023_,2.52
_222_,2.52
_230_,2.52
_109_,2.5
net17,2.5
_126_,2.3
_074_,2.16
_204_,2.16
_211_,2.16
_054_,2.04
_057_,2.04
_142_,2.04
_196_,2.04
_169_,1.84
_165_,1.72
_067_,1.7
_122_,1.7
net34,1.7
_276_,1.26
_082_,1.14
_135_,1.14
_249_,1.14
net23,1.14
_045_,0.92
_205_,0.92
_236_,0.92
net38,0.92
_078_,0.8
_177_,0.8
_085_,0.46
