                                              MBE         BOOTH         BAUGH
core_area_um2                        9.594202e+03  1.436878e+04  1.191142e+04
die_area_um2                         1.309412e+04  1.868688e+04  1.582712e+04
utilization_percent                  7.327108e+01  7.689235e+01  7.525959e+01
flops                                0.000000e+00  0.000000e+00  0.000000e+00
total_cells                          2.940000e+02  4.700000e+02  3.740000e+02
comb_cells                           2.940000e+02  4.700000e+02  3.740000e+02
clock_period_ns                      1.000000e+01  1.000000e+01  1.000000e+01
WNS_ns                               0.000000e+00 -2.500000e+00  0.000000e+00
TNS_ns                               0.000000e+00 -1.579000e+01  0.000000e+00
critical_path_ns                     8.840000e+00  1.250000e+01  8.630000e+00
Fmax_MHz                             1.131222e+02  8.000000e+01  1.158749e+02
total_power_mw                       3.790000e-01  7.010000e-01  4.480000e-01
energy_per_cycle_pJ                  3.790000e+00  7.010000e+00  4.480000e+00
latency_ns                           8.840000e+00  1.250000e+01  8.630000e+00
throughput_ops_per_sec               1.131222e+08  8.000000e+07  1.158749e+08
energy_per_op_pJ                     3.350360e+03  8.762500e+03  3.866240e+03
power_efficiency_ops_per_sec_per_mW  2.984754e+08  1.141227e+08  2.586492e+08
area_efficiency_ops_per_sec_per_um2  8.639159e+03  4.281079e+03  7.321286e+03
